Temp,xFeed_1,xFeed_2,xFeed_3,xFeed_4,xPhaseI_1,xPhaseI_2,xPhaseI_3,xPhaseI_4,xPhaseII_1,xPhaseII_2,xPhaseII_3,xPhaseII_4,nIter,calculationTime,isSinglePhase
275,0.01,0.01,0.01,0.97,0.0100000000000001,0.00999999999999979,0.0100000000000001,0.97,0.00999973693357203,0.0100006202073985,0.00999977183891826,0.969999871020111,5,2.9855499,1
286.25,0.01,0.01,0.01,0.97,0.01,0.00999999999999997,0.01,0.97,0.00999984128924939,0.0100003807455516,0.00999986591571781,0.969999912049481,5,2.9733254,1
297.5,0.01,0.01,0.01,0.97,0.01,0.01,0.01,0.97,0.00999990424686738,0.0100002337886253,0.0099999214932552,0.969999940471252,5,3.0773412,1
308.75,0.01,0.01,0.01,0.97,0.0100000000001085,0.00999999999973013,0.010000000000086,0.970000000000075,0.00999994221342995,0.0100001436750879,0.00999995422933798,0.969999959882144,5,2.9614721,1
320,0.01,0.01,0.01,0.97,0.0100000000000405,0.00999999999989728,0.0100000000000308,0.970000000000031,0.00999996510890662,0.0100000884170634,0.00999997345245589,0.969999973021574,5,2.9473506,1
331.25,0.01,0.01,0.01,0.97,0.0100000000006078,0.00999999999844609,0.0100000000004399,0.970000000000506,0.00999918494407869,0.010002083928565,0.00999941000687435,0.969999321120482,4,2.4912481,1
342.5,0.01,0.01,0.01,0.97,0.0100000000002643,0.00999999999930871,0.0100000000001808,0.970000000000246,0.00999946289103892,0.010001404658373,0.00999963253399161,0.969999499916596,4,2.5761965,1
353.75,0.01,0.01,0.01,0.97,0.0100000000001171,0.0099999999996858,0.0100000000000748,0.970000000000122,0.00999964644387772,0.0100009485103417,0.00999977408221348,0.969999630963567,4,2.5421081,1
365,0.01,0.01,0.01,0.97,0.0100000000000525,0.00999999999985514,0.0100000000000308,0.970000000000062,0.00999976760114844,0.0100006416846291,0.00999986353705492,0.969999727177168,4,2.5629412,1
275,0.1325,0.01,0.01,0.8475,0.132500000000003,0.00999999999999878,0.0100000000000002,0.847499999999998,0.132498536828667,0.0100005292096989,0.00999989777265192,0.847501036188982,6,3.2125715,1
286.25,0.1325,0.01,0.01,0.8475,0.1325,0.00999999999999984,0.01,0.8475,0.132499220456058,0.0100002773993146,0.00999994748380819,0.847500554660819,6,3.287148,1
297.5,0.1325,0.01,0.01,0.8475,0.1325,0.00999999999999998,0.01,0.8475,0.132499586745376,0.0100001458295968,0.00999997320979801,0.847500294215229,6,3.0930294,1
308.75,0.1325,0.01,0.01,0.8475,0.1325,0.00999999999999992,0.01,0.8475,0.132497417187524,0.010001657405519,0.00999980244679409,0.847501122960163,5,2.8695991,1
320,0.1325,0.01,0.01,0.8475,0.1325,0.00999999999999998,0.01,0.8475,0.132498556686179,0.0100009689693347,0.00999989280883591,0.847500581535651,5,2.6759327,1
331.25,0.1325,0.01,0.01,0.8475,0.132500000001914,0.00999999999866149,0.0100000000001363,0.847499999999289,0.132499193713241,0.0100005640104898,0.00999994256350128,0.847500299712768,5,2.7841884,1
342.5,0.1325,0.01,0.01,0.8475,0.132500000000691,0.00999999999949772,0.0100000000000465,0.847499999999765,0.132499550515613,0.0100003266280209,0.00999996977383538,0.847500153082531,5,2.7664887,1
353.75,0.1325,0.01,0.01,0.8475,0.132500000000249,0.00999999999981248,0.0100000000000155,0.847499999999923,0.132499750551789,0.0100001880635022,0.00999998450105567,0.847500076883653,5,2.8584839,1
365,0.1325,0.01,0.01,0.8475,0.132500000000088,0.00999999999993086,0.0100000000000049,0.847499999999976,0.132499862622809,0.0100001075953666,0.00999999234981083,0.847500037432013,5,2.7611993,1
275,0.255,0.01,0.01,0.725,0.255000000000058,0.00999999999998455,0.0100000000000022,0.724999999999955,0.254992684372642,0.0100019372070658,0.00999972785472515,0.725005650565567,6,3.3105339,1
286.25,0.255,0.01,0.01,0.725,0.255000000000008,0.00999999999999788,0.0100000000000003,0.724999999999994,0.254996222908417,0.0100009586719513,0.0099998665208728,0.725002951898759,6,3.198857,1
297.5,0.255,0.01,0.01,0.725,0.255000000000001,0.00999999999999967,0.01,0.724999999999999,0.25499804834801,0.0100004771186653,0.0099999347460903,0.725001539787234,6,3.204129,1
308.75,0.255,0.01,0.01,0.725,0.255,0.00999999999999994,0.01,0.725,0.254998993472393,0.0100002382536803,0.00999996837029406,0.725000799903632,6,3.0205756,1
320,0.255,0.01,0.01,0.725,0.255,0.00999999999999999,0.01,0.725,0.254999484125294,0.0100001193528456,0.00999998486165288,0.725000411660208,6,2.9633162,1
331.25,0.255,0.01,0.01,0.725,0.255,0.01,0.01,0.725,0.25499973799066,0.0100000598860178,0.00999999288316573,0.725000209240157,6,2.8112652,1
342.5,0.255,0.01,0.01,0.725,0.255,0.00999999999999999,0.01,0.725,0.254998715546699,0.0100008144108697,0.00999994591550947,0.725000524126922,5,2.6316103,1
353.75,0.255,0.01,0.01,0.725,0.255000000001548,0.0099999999989745,0.0100000000000603,0.724999999999417,0.254999315713522,0.0100004532948557,0.0099999733575604,0.725000257634062,5,2.7370603,1
365,0.255,0.01,0.01,0.725,0.255000000000517,0.00999999999964398,0.0100000000000179,0.724999999999821,0.254999636754159,0.0100002502686412,0.00999998743924035,0.725000125537959,5,2.8279463,1
275,0.3775,0.01,0.01,0.6025,0.377500000000036,0.00999999999998896,0.010000000000001,0.602499999999974,0.377498158732039,0.0100005695274107,0.00999994634342653,0.602501325397124,7,3.5142683,1
286.25,0.3775,0.01,0.01,0.6025,0.377500000000005,0.00999999999999848,0.0100000000000001,0.602499999999997,0.377499254571624,0.0100002502745865,0.00999997799286574,0.602500517160924,7,3.4627278,1
